구,동,행정동명,전체세대,1인세대,2인세대,3인세대,4인세대,5인이상세대,1인_비율,2인_비율,3인_비율,4인_비율,5인이상_비율,평균가구원수
종로구,청운효자동,청운효자동,4840,1882,1210,918,609,221,38.88,25.0,18.97,12.58,4.57,2.21
종로구,사직동,사직동,4575,2376,928,674,451,146,51.93,20.28,14.73,9.86,3.19,1.94
종로구,삼청동,삼청동,1049,526,242,140,100,41,50.14,23.07,13.35,9.53,3.91,1.96
종로구,부암동,부암동,4102,1674,1043,726,471,188,40.81,25.43,17.7,11.48,4.58,2.16
종로구,평창동,평창동,7087,2243,1919,1444,1049,432,31.65,27.08,20.38,14.8,6.1,2.4
종로구,무악동,무악동,2967,701,772,740,583,171,23.63,26.02,24.94,19.65,5.76,2.61
종로구,교남동,교남동,4337,1663,1103,845,595,131,38.34,25.43,19.48,13.72,3.02,2.19
종로구,가회동,가회동,1800,899,387,292,161,61,49.94,21.5,16.22,8.94,3.39,1.96
종로구,종로1.2.3.4가동,종로1.2.3.4가동,4895,3935,483,272,148,57,80.39,9.87,5.56,3.02,1.16,1.35
종로구,종로5.6가동,종로5.6가동,3724,2741,542,252,148,41,73.6,14.55,6.77,3.97,1.1,1.45
종로구,이화동,이화동,4484,3010,764,414,228,68,67.13,17.04,9.23,5.08,1.52,1.58
종로구,혜화동,혜화동,9317,5965,1518,949,659,226,64.02,16.29,10.19,7.07,2.43,1.69
종로구,창신1동,창신제1동,2645,1639,543,274,135,54,61.97,20.53,10.36,5.1,2.04,1.66
종로구,창신2동,창신제2동,3881,2055,945,501,295,85,52.95,24.35,12.91,7.6,2.19,1.83
종로구,창신3동,창신제3동,2726,955,785,554,327,105,35.03,28.8,20.32,12.0,3.85,2.23
종로구,숭인1동,숭인제1동,3018,1557,700,426,256,79,51.59,23.19,14.12,8.48,2.62,1.89
종로구,숭인2동,숭인제2동,7056,5125,1092,500,275,64,72.63,15.48,7.09,3.9,0.91,1.45
중구,소공동,소공동,1243,740,225,167,94,17,59.53,18.1,13.44,7.56,1.37,1.74
중구,회현동,회현동,2278,1327,439,298,157,57,58.25,19.27,13.08,6.89,2.5,1.77
