관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630000000800463,생활방범,2,서울특별시 종로구 북촌로 134-1 (삼청공원),37.58785,126.9843,11010540.0,삼청동,종로구,원본정상,
202630000000800464,생활방범,2,서울특별시 종로구 북촌로 134-1 (삼청공원),37.58774,126.9839,11010540.0,삼청동,종로구,원본정상,
202630000000800465,생활방범,3,서울특별시 종로구 효자로 29 (마을마당공원),37.57865,126.9736,11010530.0,사직동,종로구,원본정상,
202630000000800991,생활방범,3,서울특별시 종로구 숭인동2길 30,37.57814,127.0202,11010710.0,숭인2동,종로구,원본정상,
202630000000800993,생활방범,3,서울특별시 종로구 난계로29길 49,37.5738,127.0204,11010710.0,숭인2동,종로구,원본정상,
202630000000800994,생활방범,3,서울특별시 종로구 숭인동1길 41,37.57657,127.0196,11010710.0,숭인2동,종로구,원본정상,
202630000000800995,생활방범,3,서울특별시 종로구 종로63가길 46,37.57607,127.0189,11010710.0,숭인2동,종로구,원본정상,
202630000000800327,생활방범,3,,37.57442,126.9822,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800854,생활방범,3,서울특별시 종로구 필운대로 33-7,37.57906,126.9683,11010720.0,청운효자동,종로구,원본정상,
202630000000800332,생활방범,2,,37.58421,126.9713,11010720.0,청운효자동,종로구,원본정상,
202630000000800333,생활방범,3,,37.58418,126.9717,11010720.0,청운효자동,종로구,원본정상,
202630000000800334,생활방범,3,,37.58395,126.9722,11010720.0,청운효자동,종로구,원본정상,
202630000000801010,생활방범,1,서울특별시 종로구 지봉로11길 34-1,37.57701,127.0135,11010690.0,창신3동,종로구,원본정상,
202630000000800829,생활방범,3,서울특별시 종로구 명륜7길 36,37.59028,126.9948,11010730.0,혜화동,종로구,원본정상,
202630000000800324,생활방범,3,,37.57351,126.9706,11010530.0,사직동,종로구,원본정상,
202630000000800426,생활방범,2,서울특별시 종로구 옥인동179-1,37.58337,126.9642,11010720.0,청운효자동,종로구,원본정상,
202630000000800427,생활방범,2,서울특별시 종로구 옥인동179-1,37.58326,126.9646,11010720.0,청운효자동,종로구,원본정상,
202630000000800940,생활방범,3,서울특별시 종로구 통일로 266,37.57609,126.9568,11010570.0,무악동,종로구,원본정상,
202630000000800939,생활방범,3,서울특별시 종로구 사직로1길 47,37.57419,126.9618,11010580.0,교남동,종로구,원본정상,
202630000000800962,생활방범,3,서울특별시 종로구 종로44길 29,37.57069,127.0119,11010670.0,창신1동,종로구,원본정상,
202630000000800325,생활방범,2,,37.5738,126.9702,11010530.0,사직동,종로구,원본정상,
202630000000800423,생활방범,2,서울특별시 종로구 사직동 산1-24(사직근린공원),37.57827,126.9634,11010530.0,사직동,종로구,원본정상,
202630000000800963,생활방범,3,서울특별시 종로구 지봉로11길 13,37.57678,127.0146,11010690.0,창신3동,종로구,원본정상,
202630000000800956,생활방범,3,서울특별시 종로구 창덕궁3길 33,37.58245,126.9884,11010600.0,가회동,종로구,원본정상,
202630000000800957,생활방범,3,서울특별시 종로구 세검정로9길 51,37.60526,126.9602,11010550.0,부암동,종로구,원본정상,
202630000000800958,생활방범,3,서울특별시 종로구 율곡로3길 49,37.57729,126.9825,11010540.0,삼청동,종로구,원본정상,
202630000000800421,생활방범,1,서울특별시 종로구 신문로2가 170-1,37.56936,126.9696,11010530.0,사직동,종로구,원본정상,
202630000000800422,생활방범,2,서울특별시 종로구 사직동 산1-24(사직근린공원),37.57835,126.9631,11010530.0,사직동,종로구,원본정상,
202630000000800326,생활방범,4,,37.57399,126.9699,11010530.0,사직동,종로구,원본정상,
202630000000800441,생활방범,2,서울특별시 종로구 성균관로 13길 (와룡공원),37.59115,126.9953,11010730.0,혜화동,종로구,원본정상,
202630000000800442,생활방범,2,서울특별시 종로구 자하문로 35길 (청운공원),37.58877,126.966,11010720.0,청운효자동,종로구,원본정상,
202630000000800443,생활방범,2,서울특별시 종로구 자하문로 35길 (청운공원),37.58882,126.9665,11010720.0,청운효자동,종로구,원본정상,
202630000000800445,생활방범,2,서울특별시 종로구 자하문로 35길 (청운공원),37.58845,126.9659,11010720.0,청운효자동,종로구,원본정상,
202630000000800444,생활방범,2,서울특별시 종로구 자하문로 35길 (청운공원),37.58861,126.9662,11010720.0,청운효자동,종로구,원본정상,
202630000000800309,생활방범,3,,37.57577,127.0006,11010630.0,종로5·6가동,종로구,원본정상,
202630000000800310,생활방범,3,,37.57588,127.001,11010630.0,종로5·6가동,종로구,원본정상,
202630000000800460,생활방범,2,서울특별시 종로구 내수동 73-3 (내수공원),37.5724,126.9718,11010530.0,사직동,종로구,원본정상,
202630000000800462,생활방범,2,서울특별시 종로구 북촌로 134-1 (삼청공원),37.58956,126.9834,11010540.0,삼청동,종로구,원본정상,
202630000000800461,생활방범,3,서울특별시 종로구 북촌로 134-1 (삼청공원),37.58987,126.9843,11010540.0,삼청동,종로구,원본정상,
202630000000800954,생활방범,3,서울특별시 종로구 수표로26길 22,37.57229,126.9903,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800955,생활방범,3,서울특별시 종로구 종로11길 9-20,37.5709,126.985,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800425,생활방범,2,서울특별시 종로구 옥인동179-1,37.58431,126.9647,11010720.0,청운효자동,종로구,원본정상,
202630000000800424,생활방범,3,서울특별시 종로구 인왕산로 172,37.58231,126.9647,11010720.0,청운효자동,종로구,원본정상,
202630000000800321,생활방범,3,,37.57863,126.9888,11010600.0,가회동,종로구,원본정상,
202630000000800322,생활방범,3,,37.57209,126.9717,11010530.0,사직동,종로구,원본정상,
202630000000800323,생활방범,3,,37.57259,126.9715,11010530.0,사직동,종로구,원본정상,
202630000000800961,생활방범,3,서울특별시 종로구 돈화문로9길 26,37.57171,126.9905,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800959,생활방범,4,서울특별시 종로구 자하문로 3,37.57653,126.9724,11010530.0,사직동,종로구,원본정상,
202630000000800960,생활방범,3,서울특별시 종로구 자하문로36길 16,37.59027,126.9683,11010720.0,청운효자동,종로구,원본정상,
202630000000800311,생활방범,3,,37.57145,126.9794,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800312,생활방범,3,,37.57157,126.9798,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800313,생활방범,3,,37.57137,126.9799,11010610.0,종로1·2·3·4가동,종로구,원본정상,
202630000000800428,생활방범,2,서울특별시 종로구 옥인동183-4,37.58254,126.964,11010720.0,청운효자동,종로구,원본정상,
202630000000800314,생활방범,3,,37.57832,126.9889,11010600.0,가회동,종로구,원본정상,
202630000000800467,생활방범,3,서울특별시 종로구 필운대로 68 (세종마을 어린이놀이터),37.58221,126.9682,11010720.0,청운효자동,종로구,원본정상,
202630000000800468,생활방범,3,서울특별시 종로구 새문안로 79,37.57088,126.9737,11010530.0,사직동,종로구,원본정상,
202630000000800469,생활방범,3,서울특별시 종로구 새문안로 79,37.57108,126.9736,11010530.0,사직동,종로구,원본정상,
