customer_id,건물유형,거래형태,매매가,보증금,월세,건축면적,층수,준공년도,녹지,안전,교통,상권,의료,교육,문화
C001,아파트,전세,,16000,,17,지상층,최근 10년,4,3,3,4,4,1,2
C002,빌라,전세,,39500,,32,지상층,25년~,4,3,3,5,3,1,4
C003,아파트,전세,,23500,,19,지상층,최근 10년,4,3,2,3,5,1,2
C004,아파트,월세,,17000,60,31,지상층,최근 10년,5,2,2,3,2,2,4
C005,아파트,월세,,4000,90,33,지상층,최근 10년,4,2,2,3,2,1,2
C006,아파트,전세,,43000,,24,지상층,최근 10년,4,2,3,4,2,1,3
C007,아파트,월세,,11000,70,8,지상층,25년~,2,1,1,4,2,1,2
C008,빌라,월세,,9000,55,16,지상층,최근 15년,4,3,2,5,3,1,2
C009,아파트,매매,105000,,,32,지상층,최근 5년,2,4,2,4,2,4,2
C010,오피스텔,월세,,1800,55,6,옥탑,최근 5년,4,3,3,5,2,2,2
C011,아파트,매매,38000,,,10,지상층,최근 15년,5,4,2,4,3,1,3
C012,아파트,전세,,46500,,34,지상층,최근 15년,4,2,3,3,3,1,2
C013,아파트,매매,135000,,,32,지상층,최근 10년,5,3,1,3,2,2,2
C014,원룸,월세,,2000,45,9,반지하,25년~,1,2,4,4,2,1,4
C015,빌라,전세,,18000,,25,지상층,25년~,4,4,2,4,5,1,2
C016,아파트,월세,,12500,65,30,지상층,최근 15년,5,4,1,3,2,1,2
C017,아파트,전세,,69500,,26,지상층,최근 10년,4,4,2,5,4,1,2
C018,아파트,월세,,6000,85,34,지상층,최근 15년,4,4,1,5,2,4,2
C019,빌라,전세,,48000,,29,지상층,25년~,3,4,2,5,5,3,2
C020,빌라,매매,225000,,,39,지상층,최근 10년,5,4,2,3,2,4,2
C021,아파트,전세,,33500,,22,지상층,최근 10년,3,2,2,3,2,1,1
C022,아파트,매매,122000,,,23,지상층,최근 15년,4,4,3,3,4,1,4
C023,아파트,매매,63000,,,11,지상층,최근 10년,4,1,2,4,2,1,2
C024,원룸,월세,,1100,50,9,반지하,최근 15년,3,2,4,4,4,2,2
C025,아파트,매매,150000,,,34,지상층,최근 10년,5,3,1,2,5,2,2
C026,빌라,전세,,27500,,27,지상층,25년~,5,3,2,3,3,1,1
C027,아파트,전세,,79500,,34,지상층,최근 5년,4,2,2,4,3,3,4
C028,아파트,매매,230000,,,36,지상층,최근 5년,4,4,4,2,2,3,3
C029,아파트,전세,,42500,,29,지상층,최근 15년,4,4,2,4,2,4,2
C030,아파트,전세,,54500,,35,지상층,최근 15년,4,4,1,2,2,4,2
C031,아파트,전세,,60500,,33,지상층,25년~,5,5,1,5,3,3,1
C032,원룸,전세,,8000,,9,지상층,최근 15년,2,2,3,2,2,1,1
C033,빌라,월세,,18500,30,16,지상층,최근 5년,2,2,2,5,3,1,4
C034,빌라,전세,,21500,,26,지상층,최근 5년,5,3,2,4,5,2,2
C035,빌라,전세,,24000,,19,지상층,최근 15년,3,4,3,4,2,1,5
C036,원룸,전세,,8000,,5,옥탑,최근 10년,2,2,4,5,2,1,3
C037,아파트,월세,,7500,75,9,지상층,최근 5년,4,2,4,4,2,1,3
C038,아파트,전세,,8000,,9,지상층,최근 15년,3,5,2,3,5,1,4
C039,빌라,월세,,3000,75,8,지상층,최근 10년,1,2,4,4,2,1,1
C040,아파트,전세,,29500,,14,지상층,25년~,2,4,2,3,2,1,3
C041,빌라,전세,,25000,,28,지상층,최근 5년,2,4,2,5,2,3,1
C042,아파트,월세,,3500,110,32,지상층,최근 15년,4,4,2,2,2,5,1
C043,빌라,월세,,16000,35,6,지상층,25년~,4,4,3,3,3,1,2
C044,빌라,전세,,46000,,32,지상층,최근 10년,2,4,1,5,2,4,1
C045,빌라,매매,100000,,,14,지상층,25년~,3,2,2,5,2,1,2
C046,빌라,월세,,8500,60,20,지상층,최근 15년,5,3,3,3,4,1,2
C047,아파트,전세,,79000,,37,지상층,최근 5년,4,4,1,5,2,5,2
C048,아파트,전세,,16000,,17,지상층,25년~,5,3,2,3,4,1,2
C049,빌라,월세,,3500,70,27,지상층,25년~,4,5,1,2,5,1,1
C050,아파트,월세,,19500,40,7,지상층,최근 10년,4,2,3,4,2,1,2
C051,아파트,월세,,13000,65,25,지상층,25년~,4,4,3,3,3,1,1
C052,아파트,전세,,37000,,21,지상층,최근 5년,2,2,3,3,4,1,1
C053,아파트,전세,,32000,,22,지상층,25년~,4,3,2,5,4,1,3
C054,아파트,전세,,26500,,27,지상층,최근 15년,4,3,2,4,3,1,3
C055,빌라,월세,,12000,45,30,지상층,최근 15년,4,3,1,2,3,1,1
C056,아파트,매매,222000,,,40,지상층,최근 5년,3,4,2,3,3,3,2
C057,원룸,전세,,8000,,6,반지하,최근 10년,3,2,4,4,3,1,2
C058,아파트,전세,,33000,,23,지상층,최근 10년,4,3,2,3,4,1,2
C059,빌라,전세,,26500,,22,지상층,25년~,4,4,2,4,3,1,2
C060,아파트,전세,,41000,,22,지상층,최근 10년,4,3,2,3,2,1,3
C061,아파트,전세,,27000,,26,지상층,최근 10년,2,5,3,5,2,4,1
C062,아파트,전세,,48500,,30,지상층,최근 10년,4,4,2,3,4,1,2
C063,아파트,매매,197000,,,36,지상층,25년~,4,4,1,5,2,3,4
C064,빌라,전세,,15500,,17,지상층,25년~,3,2,2,3,4,1,1
C065,아파트,월세,,18000,50,27,지상층,최근 15년,2,4,3,3,2,1,2
C066,아파트,월세,,7500,80,10,지상층,최근 10년,4,2,5,5,2,1,5
C067,아파트,매매,224000,,,33,지상층,최근 5년,5,4,1,4,3,4,3
C068,빌라,월세,,12500,50,7,지상층,최근 15년,4,5,1,3,2,1,3
C069,아파트,월세,,14000,60,28,지상층,최근 10년,4,3,3,2,5,2,2
C070,아파트,월세,,11000,70,10,지상층,25년~,3,2,4,5,2,1,1
C071,아파트,전세,,36500,,21,지상층,25년~,5,4,3,3,2,4,5
C072,아파트,매매,126000,,,31,지상층,최근 15년,4,3,1,3,2,1,3
C073,오피스텔,전세,,15000,,10,지상층,최근 10년,3,4,3,4,4,1,1
C074,아파트,매매,88000,,,21,지상층,25년~,2,3,3,3,2,1,2
C075,아파트,전세,,31000,,24,지상층,25년~,5,3,2,3,5,1,4
C076,빌라,전세,,8000,,9,지상층,최근 10년,3,5,2,2,3,1,1
C077,아파트,전세,,42500,,31,지상층,최근 5년,4,2,1,3,2,3,2
C078,원룸,전세,,8000,,8,옥탑,최근 10년,3,2,2,4,2,1,4
C079,아파트,매매,170000,,,26,지상층,최근 5년,2,4,2,5,2,1,4
C080,원룸,전세,,8000,,9,반지하,25년~,1,4,5,4,2,1,4
C081,빌라,전세,,18000,,17,지상층,25년~,4,2,2,4,2,1,2
C082,아파트,전세,,31000,,20,지상층,최근 15년,5,3,2,1,2,1,1
C083,아파트,전세,,90000,,34,지상층,최근 5년,4,4,4,3,2,4,5
C084,빌라,전세,,78500,,37,지상층,최근 10년,3,4,4,5,2,1,4
C085,빌라,월세,,15000,35,8,반지하,25년~,3,1,3,3,2,1,1
C086,오피스텔,월세,,500,65,11,지상층,최근 5년,4,3,3,4,2,1,2
C087,오피스텔,전세,,22000,,11,지상층,최근 5년,3,2,4,5,2,1,4
C088,빌라,월세,,5500,65,27,지상층,최근 15년,5,3,2,2,3,1,2
C089,아파트,전세,,61500,,23,지상층,최근 15년,2,2,1,5,2,1,3
C090,빌라,전세,,15000,,16,지상층,최근 15년,2,3,2,2,4,1,4
C091,빌라,매매,149000,,,23,지상층,최근 15년,4,4,4,4,2,1,5
C092,아파트,전세,,10000,,8,지상층,25년~,3,2,4,3,2,1,5
C093,원룸,월세,,900,50,7,반지하,25년~,1,2,1,4,3,1,3
C094,빌라,전세,,47000,,30,지상층,최근 10년,2,3,2,4,2,3,2
C095,빌라,매매,127000,,,23,지상층,최근 5년,2,4,1,3,5,1,4
C096,아파트,전세,,28500,,20,지상층,25년~,4,1,2,4,2,1,5
C097,아파트,매매,194000,,,35,지상층,최근 10년,4,3,3,4,3,2,5
C098,빌라,전세,,10500,,15,지상층,25년~,4,2,2,2,5,1,4
C099,아파트,매매,76000,,,22,지상층,최근 15년,3,3,1,5,4,1,2
C100,아파트,매매,191000,,,28,지상층,최근 10년,5,3,2,2,3,2,4
