customer_id,녹지,안전,교통,상권,의료,교육,문화
C001,4,2,3,4,4,1,2
C002,4,3,3,5,2,1,4
C003,4,3,2,3,5,1,2
C004,5,3,2,3,2,2,4
C005,4,2,2,3,2,1,2
C006,4,2,3,4,2,1,3
C007,2,1,1,4,2,1,2
C008,4,3,2,5,3,1,2
C009,2,4,2,4,2,4,2
C010,4,3,3,5,2,2,2
C011,5,4,2,4,2,1,3
C012,4,2,3,3,3,1,2
C013,5,3,1,3,2,2,2
C014,1,2,4,4,2,1,4
C015,4,4,2,4,5,1,2
C016,5,4,1,3,2,1,2
C017,4,4,2,5,4,1,2
C018,4,3,1,5,2,2,2
C019,3,4,2,5,5,2,2
C020,5,4,2,3,2,3,2
C021,3,3,2,3,2,1,1
C022,4,4,3,3,4,1,4
C023,4,1,2,4,2,1,2
C024,3,2,4,4,4,2,2
C025,5,3,1,2,5,2,2
C026,5,1,2,3,2,1,1
C027,4,3,3,4,3,2,4
C028,4,4,4,2,2,3,3
C029,4,4,2,4,2,4,2
C030,4,2,1,2,2,3,2
C031,5,5,1,5,3,3,1
C032,2,2,3,2,2,1,1
C033,2,3,2,5,3,1,4
C034,5,3,2,4,5,2,2
C035,3,4,3,4,2,1,5
C036,2,2,4,5,2,1,3
C037,4,2,4,4,2,1,3
C038,3,5,2,3,5,1,4
C039,1,2,4,4,2,1,1
C040,2,4,2,3,2,1,3
C041,2,4,2,5,2,3,1
C042,4,4,2,2,2,5,1
C043,4,4,3,3,3,1,2
C044,2,2,1,5,2,3,1
C045,3,2,2,5,2,1,2
C046,5,3,3,3,4,1,2
C047,4,4,1,5,2,5,2
C048,5,3,2,3,4,1,2
C049,4,5,1,2,5,1,1
C050,4,2,3,4,2,1,2
C051,4,4,3,3,3,1,1
C052,2,3,3,3,4,1,1
C053,4,3,2,5,4,1,3
C054,4,3,2,4,3,1,3
C055,4,3,1,2,3,1,1
C056,3,4,2,3,3,3,2
C057,3,2,4,4,3,1,2
C058,4,3,2,3,4,1,2
C059,4,4,2,4,3,1,2
C060,4,3,2,3,2,1,3
C061,2,5,3,5,2,4,1
C062,4,4,2,3,4,1,2
C063,4,4,1,5,2,3,4
C064,3,2,2,3,4,1,1
C065,2,4,3,3,2,1,2
C066,4,2,5,5,2,1,5
C067,5,4,1,4,3,3,3
C068,4,5,1,3,2,1,3
C069,4,3,3,2,5,2,2
C070,3,2,4,5,2,1,1
C071,5,4,3,3,2,3,5
C072,4,3,1,3,2,1,3
C073,3,4,3,4,4,1,1
C074,2,3,3,3,2,1,2
C075,5,3,2,3,5,1,4
C076,3,5,2,2,3,1,1
C077,4,2,1,3,2,3,2
C078,3,2,2,4,2,1,4
C079,2,4,2,5,2,1,4
C080,1,4,5,4,2,1,4
C081,4,2,2,4,2,1,2
C082,5,3,2,1,2,1,1
C083,4,4,4,3,2,4,5
C084,3,4,4,5,2,1,4
C085,3,1,3,3,2,1,1
C086,4,3,3,4,2,1,2
C087,3,2,4,5,2,1,4
C088,5,3,2,2,3,1,2
C089,2,2,1,5,2,1,3
C090,2,3,2,2,4,1,4
C091,4,4,4,4,2,1,5
C092,3,2,4,3,2,1,5
C093,1,2,1,4,3,1,3
C094,2,3,2,4,2,4,2
C095,2,4,1,3,5,1,4
C096,4,1,2,4,2,1,5
C097,4,3,3,4,2,2,5
C098,4,2,2,2,5,1,4
C099,3,3,1,5,4,1,2
C100,5,3,2,2,3,2,4
