연번,자치구명,설치위치,세부 위치,설치 장소 유형,수거 쓰레기 종류,위도,경도,행정동코드,행정동,처리방식
1,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,일반쓰레기,37.5761344,126.972895,11010530.0,사직동,정상 지오코딩
2,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,재활용쓰레기,37.5761344,126.972895,11010530.0,사직동,정상 지오코딩
3,종로구,자하문로4길 6,스타벅스 앞,도로변(횡단보도 포함),일반쓰레기,37.5771839,126.9726349,11010530.0,사직동,정상 지오코딩
4,종로구,자하문로4길 6,스타벅스 앞,도로변(횡단보도 포함),재활용쓰레기,37.5771839,126.9726349,11010530.0,사직동,정상 지오코딩
5,종로구,자하문로 13-2 ,더 바움 앞,도로변(횡단보도 포함),일반쓰레기,37.5773766,126.9719681,11010530.0,사직동,정상 지오코딩
6,종로구,자하문로 13-2 ,더 바움 앞,도로변(횡단보도 포함),재활용쓰레기,37.5773766,126.9719681,11010530.0,사직동,정상 지오코딩
7,종로구,효자로13길 45,청와대 사랑채 분수대 광장,도로변(횡단보도 포함),일반쓰레기,37.5825449,126.9730593,11010720.0,청운효자동,정상 지오코딩
8,종로구,효자로13길 45,청와대 사랑채 분수대 광장,도로변(횡단보도 포함),재활용쓰레기,37.5825449,126.9730593,11010720.0,청운효자동,정상 지오코딩
9,종로구,자하문로1길 32,서촌 친구네 앞,상가지역,담배꽁초 수거함,37.5765367,126.9706323,11010530.0,사직동,정상 지오코딩
10,종로구,종로11길 9-24,담장 앞,도로변(횡단보도 포함),담배꽁초 수거함,37.5709914,126.9848686,11010610.0,종로1·2·3·4가동,정상 지오코딩
11,종로구,자하문로1길 34,넘버원양꼬치 앞 ,상가지역,담배꽁초 수거함,37.5766124,126.9705504,11010530.0,사직동,정상 지오코딩
12,종로구,청계천로 75,공영주차장 앞,도로변(횡단보도 포함),담배꽁초 수거함,37.5685891,126.9859646,11010610.0,종로1·2·3·4가동,정상 지오코딩
