이름,구,행정동,주소,시설유형,점포구분명,형태,건물연면적,점포수,위도,경도
(주)이마트 역삼점,강남구,역삼2동,서울특별시 강남구 역삼로 310 (역삼동),대형마트,대규모점포,,5174.0,,37.4992355425931,127.048420861876
(주)현대백화점 본점,강남구,신사동,"서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점)",백화점,대규모점포,,37604.54,,37.5273661232786,127.027468526838
GS THE FRESH 강남영동점,강남구,논현1동,"서울특별시 강남구 강남대로128길 20, 영동프라자 (논현동)",미분류,준대규모점포,,510.88,,37.5099952118083,127.023823242641
GS THE FRESH 신사점,강남구,신사동,"서울특별시 강남구 압구정로18길 25 (신사동, 한국산업양행빌딩)",미분류,준대규모점포,,272.02,,37.5234371884205,127.025571790316
GS THE FRESH 압구정점,강남구,압구정동,"서울특별시 강남구 압구정로 312, 1층 (신사동)",미분류,준대규모점포,,198.0,,37.5287778293928,127.035516085138
강남개포시장,강남구,개포2동,서울특별시 강남구 개포로82길11 삼우빌딩 305호,상점가·골목형,,상점가,56608.0,137.0,37.4885582921416,127.067443820505
강남시장(대규모점포),강남구,신사동,서울특별시 강남구 압구정로2길 46 (신사동),복합쇼핑몰,대규모점포,,3062.7,,37.5187672551656,127.020691646267
강남언주로 상가,강남구,역삼1동,서울특별시 강남구 언주로98길 5-4 강남언주로상가,상점가·골목형,,상점가,2008.0,34.0,37.5052815020196,127.042486351873
강남역지하도상점,강남구,역삼1동,서울특별시 강남구 강남대로 지하396 강남역지하도상점,상점가·골목형,,지하도상가,12099.0,212.0,37.4981646510326,127.028307900881
갤러리아백화점(동관),강남구,압구정동,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",백화점,대규모점포,,10250.0,,37.527918187812,127.041831709947
갤러리아백화점(서관),강남구,압구정동,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)",백화점,대규모점포,,15358.0,,37.5284754434309,127.040052671773
그랑프리,강남구,대치1동,"서울특별시 강남구 남부순환로 2912 (대치동, 개포우성아파트)",기타대규모점포,대규모점포,,0.0,,37.4907059879875,127.056142941592
금강상가,강남구,압구정동,서울특별시 압구정로 201 (구현대아파트),기타대규모점포,대규모점포,,1255.0,,37.5315341736395,127.029273123095
남서울종합시장,강남구,대치1동,서울특별시 강남구 남부순환로 2921 (대치동),기타대규모점포,대규모점포,,3014.31,,37.4934943562011,127.059772967826
노브랜드 삼성점,강남구,삼성2동,"서울특별시 강남구 삼성로 633, 1층 (삼성동, 삼광빌딩)",미분류,준대규모점포,,358.71,,37.5162938562313,127.051107823804
