문화시설명,주제분류,문화분류,주소,자치구,행정동명,행정동ID_8자리,위도,경도,무료여부,관람시간,휴관일,객석수,전화번호,홈페이지,매칭거리_m,매칭품질
강남힐링센터 개포,기타,기타문화,서울특별시 강남구 삼성로3길 39,강남구,개포2동,11230800,37.4841428175435,127.065349831835,무료,,"매주 일요일, 공휴일",,02-3423-7970,https://www.gangnam.go.kr/healing/index.do,77.6,양호
경운박물관,박물관/기념관,전시시설,서울특별시 강남구 삼성로 29  경기여고 100주년기념관 1층,강남구,개포2동,11230800,37.48783935741881,127.06604493487576,무료,화~금 10:00~16:00토 10:00~13:00,"일, 공휴일",,02-3463-1336,http://kwmuseum.org,92.9,양호
서울특별시교육청 개포도서관,도서관,도서관,서울  강남구 개포동  선릉로4길 30,강남구,개포2동,11230800,37.4829604,127.063769,무료,절기에 따라 다름,"매월 둘째, 넷째 목요일 , 법정공휴일, 임시휴관일",,02-3462-1989,http://gplib.sen.go.kr/,69.5,양호
M극장,공연장,공연시설,서울특별시 강남구 논현로4길 36,강남구,개포4동,11230710,37.4737004711717,127.052950914694,유료,,없음,,없음,https://www.mtheater.co.kr/,33.8,양호
SPACE 1257,기타,기타문화,"서울특별시 강남구 학동로 146, 와일리 타워 1층",강남구,논현1동,11230520,37.5125036615996,127.026928980849,무료,,일부 공휴일,,02-6952-1251,https://www.instagram.com/space_1257/,53.2,양호
삼익아트홀,공연장,공연시설,서울특별시 강남구 학동로 171 3층,강남구,논현1동,11230520,37.5140467250769,127.029550652058,유료,,연중무휴,,02-517-1300,https://www.samickhall.co.kr/,28.7,양호
엠팟홀,공연장,공연시설,서울 강남구 학동로 171 삼익악기빌딩 3층,강남구,논현1동,11230520,37.5140467250769,127.029550652058,유료,,홈페이지 참조,,02-541-3929,http://www.mpot.co.kr/,28.7,양호
하츠아트홀,기타,기타문화,서울특별시 강남구 학동로 163 지하,강남구,논현1동,11230520,37.5136305884416,127.028668907231,유료,,연중무휴,,0507-1344-2360,https://blog.naver.com/heartsmusic,110.4,양호
강남구립논현도서관,도서관,도서관,서울 강남구 학동로43길 17 논현2문화센터 6층,강남구,논현2동,11230530,37.5172831299803,127.037204204847,무료,,"매주 화요일, 일요일을 제외한 법정공휴일",,02-3443-7650,https://library.gangnam.go.kr/nhlib/index.do,26.7,양호
국립관세박물관,박물관/기념관,전시시설,서울특별시 강남구 언주로 721 서울본부세관 본관 1층,강남구,논현2동,11230530,37.51846218273785,127.03453476540844,무료,,"토요일 및 일요일,공휴일",,02-510-1083,https://www.customs.go.kr/seoul/cm/cntnts/cntntsView.do?mi=3796&cntntsId=1221,143.3,양호
