구,공원명,공원구분,동,소재지지번주소,행정동,위도,경도,공원면적
강남구,도산근린공원,근린공원,신사동,서울특별시 강남구 신사동 649-9,압구정동,37.523911,127.0356032,29816.5
강남구,신사근린공원,근린공원,압구정동,서울특별시 강남구 압구정동 422,신사동,37.526708,127.0212651,6800
강남구,대청근린공원,근린공원,일원동,서울특별시 강남구 일원동 621,일원1동,37.49241615,127.0833736,14089.1
강남구,늘푸른근린공원,근린공원,일원동,서울특별시 강남구 일원동 690,개포3동,37.48951135,127.0773393,12067.2
강남구,개포서근린공원,근린공원,개포동,서울특별시 강남구 개포동 180,개포2동,37.4885944,127.0635583,11219.2
강남구,개포동근린공원,근린공원,개포동,서울특별시 강남구 개포동 182-1,개포2동,37.48970641,127.0682905,9705.6
강남구,대치근린공원,근린공원,대치동,서울특별시 강남구 대치동 512,대치2동,37.495123,127.0699032,10408.9
강남구,늘벗근린공원,근린공원,대치동,서울특별시 강남구 대치동 501,대치1동,37.48928087,127.0563303,19812.3
강남구,독골근린공원,근린공원,도곡동,서울특별시 강남구 도곡동 461,도곡2동,37.484552,127.0468249,10022.9
강남구,포이근린공원,근린공원,개포동,서울특별시 강남구 개포동 1239-21,개포4동,37.47967612,127.0447815,16811.4
강남구,청룡근린공원,근린공원,개포동,서울특별시 강남구 개포동 649-1,개포1동,37.48528514,127.0537972,9367
강남구,배밭근린공원,근린공원,개포동,서울특별시 강남구 개포동 181,개포2동,37.48821488,127.0594681,11627.2
강남구,학여울근린공원,근린공원,개포동,서울특별시 강남구 개포동 183-1,개포2동,37.48970641,127.0682905,12505.6
강남구,청수근린공원,근린공원,청담동,서울특별시 강남구 청담동 134-13,청담동,37.523249,127.0584463,17402
강남구,청담근린공원,근린공원,청담동,서울특별시 강남구 청담동 66,청담동,37.52152002,127.0522736,59347
강남구,한티근린공원,근린공원,대치동,서울특별시 강남구 대치동 212-1,대치1동,37.49524119,127.0622107,19200
강남구,개포근린공원,근린공원,개포동,서울특별시 강남구 개포동 139,개포2동,37.4830336,127.063861,90063.9
강남구,달터근린공원,근린공원,개포동,서울특별시 강남구 개포동 156,개포2동,37.485434,127.0596369,232078.2
강남구,대진근린공원,근린공원,개포동,서울특별시 강남구 개포동 13-1,개포3동,37.496049,127.0788531,13568.3
강남구,탄천근린공원,근린공원,수서동,서울특별시 강남구 수서동 722,수서동,37.487436,127.1064899,10011
강남구,한솔근린공원,근린공원,일원동,서울특별시 강남구 일원동 732,일원본동,37.481203,127.0787962,12878.4
강남구,학동근린공원,근린공원,논현동,서울특별시 강남구 논현동 26,논현1동,37.51548988,127.0252037,29947
강남구,삼성은행나무근린공원,근린공원,삼성동,서울특별시 강남구 삼성동 14,삼성2동,37.51651533,127.0457554,1500
강남구,도곡근린공원,근린공원,도곡동,서울특별시 강남구 도곡동 산31-1,도곡1동,37.48946129,127.0440022,254648
강남구,싸리고개근린공원,근린공원,도곡동,서울특별시 강남구 도곡동 550,도곡1동,37.48962828,127.0363246,15072.5
강남구,갈매기근린공원,근린공원,압구정동,서울특별시 강남구 압구정동 480,압구정동,37.53139874,127.0345365,7732
강남구,도성근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 713-15,역삼2동,37.5003029,127.0488318,1988.8
강남구,송운근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 755-9,역삼2동,37.4993173,127.0490489,1175
강남구,언주근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 754-7,역삼2동,37.49864145,127.0475791,1110.8
강남구,영동근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 755-7,역삼2동,37.49801996,127.0486499,1293.6
강남구,길섶근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 757-1,역삼2동,37.49757437,127.0489095,1580.6
강남구,매봉근린공원,근린공원,도곡동,서울특별시 강남구 도곡동 527-7,도곡2동,37.492112,127.0504068,6146.9
강남구,배꽃근린공원,근린공원,삼성동,서울특별시 강남구 삼성동 11-3,삼성2동,37.51628496,127.0446033,1592.9
강남구,반달근린공원,근린공원,삼성동,서울특별시 강남구 삼성동 7-4,삼성2동,37.5162258,127.0428717,679.3
강남구,샘터근린공원,근린공원,삼성동,서울특별시 강남구 삼성동 16-4,삼성2동,37.51542123,127.0474657,1799.5
강남구,학봉근린공원,근린공원,삼성동,서울특별시 강남구 삼성동 50-3,삼성2동,37.51303694,127.0521038,1343
강남구,큰골근린공원,근린공원,대치동,서울특별시 강남구 대치동 888-3,대치1동,37.49397694,127.054871,1688.1
강남구,새뜰근린공원,근린공원,역삼동,서울특별시 강남구 역삼동 765-30,역삼2동,37.49660384,127.0510177,427.6
강남구,수서제2근린공원,근린공원,수서동,서울특별시 강남구 수서동 749,일원본동,37.48359088,127.0887929,44587.5
강남구,수서택지개발(대모산부근),근린공원,일원동,서울특별시 강남구 일원동 732-3,일원본동,37.48093233,127.0805118,11588.6
강남구,수서택지개발(광평부근),근린공원,수서동,서울특별시 강남구 수서동 737-1,수서동,37.48674541,127.0971098,7569.1
강남구,세곡동 근린공원1,근린공원,세곡동,서울특별시 강남구 세곡동 525-1,세곡동,37.46058474,127.1038574,10310.4
강남구,강남세곡체육공원,체육공원,세곡동,서울특별시 강남구 세곡동 산1-7,세곡동,37.46693664,127.1126916,98417
강남구,광평공원,근린공원,수서동,서울특별시 강남구 일원동 197-7,일원본동,37.48651921,127.0921363,10746.9
강남구,봉은역사공원,역사공원,삼성동,서울특별시 강남구 삼성동 75,삼성1동,37.51391154,127.0554916,75635.7
강남구,역삼문화공원,문화공원,역삼동,서울특별시 강남구 역삼동 635,역삼1동,37.50251536,127.0303909,33974.9
강남구,다솜소공원,소공원,역삼동,서울특별시 강남구 역삼동 763-18,역삼2동,37.49577558,127.0478708,604.1
강남구,도곡단비소공원,소공원,도곡동,서울특별시 강남구 도곡동 539-6,도곡2동,37.49389921,127.0472249,896.5
강남구,도곡동 426-9(로덴하우스)소공원,소공원,도곡동,서울특별시 강남구 도곡동 462-9,도곡2동,37.48560304,127.0460585,80
강남구,역삼나들이소공원,소공원,역삼동,서울특별시 강남구 역삼동 716-5,역삼2동,37.500748,127.0504317,650
강남구,아크로힐스소공원,소공원,논현동,서울특별시 강남구 논현동 276-2,논현2동,37.51003194,127.0395693,800
강남구,논현까치공원,어린이공원,논현동,서울특별시 강남구 논현동 162-11,논현1동,37.50852892,127.0250971,956.7
강남구,논현목련공원,어린이공원,논현동,서울특별시 강남구 논현동 137-18,논현1동,37.5108669,127.0267093,986
강남구,논현은행나무공원,어린이공원,논현동,서울특별시 강남구 논현동 47-13,논현1동,37.51259546,127.0224572,1014.5
강남구,논현개나리공원,어린이공원,논현동,서울특별시 강남구 논현동 150-5,논현1동,37.51122564,127.0300758,1652.9
강남구,논현무궁화공원,어린이공원,논현동,서울특별시 강남구 논현동 205-7,논현1동,37.50667179,127.0307039,1879.7
강남구,논현소나무공원,어린이공원,논현동,서울특별시 강남구 논현동 239,논현2동,37.51573112,127.0374539,1819.9
강남구,학동공원,어린이공원,논현동,서울특별시 강남구 논현동 263-23,논현2동,37.511646,127.0387639,1498.5
강남구,신사은행나무공원,어린이공원,신사동,서울특별시 강남구 신사동 558,신사동,37.52059722,127.0260394,1240.1
강남구,신사목련공원,어린이공원,신사동,서울특별시 강남구 신사동 567-37,신사동,37.52291399,127.0258327,1001.1
강남구,신사무궁화공원,어린이공원,신사동,서울특별시 강남구 신사동 625-5,압구정동,37.524131,127.0319138,1641.8
강남구,신사까치공원,어린이공원,신사동,서울특별시 강남구 신사동 597,압구정동,37.52342193,127.029229,992.9
강남구,신사개나리공원,어린이공원,신사동,서울특별시 강남구 신사동 609-2,압구정동,37.52567303,127.029443,991.3
강남구,압구정목련공원,어린이공원,압구정동,서울특별시 강남구 압구정동 466,압구정동,37.53268534,127.0322088,2027.2
강남구,압구정은행나무공원,어린이공원,압구정동,서울특별시 강남구 압구정동 459,압구정동,37.53072221,127.0314438,2547.4
강남구,삼성목련공원,어린이공원,삼성동,서울특별시 강남구 삼성동 55-1,삼성1동,37.518515,127.0538884,1641.4
강남구,삼성까치공원,어린이공원,삼성동,서울특별시 강남구 삼성동 85,삼성1동,37.51841744,127.0605431,1462.9
강남구,청담은행나무공원,어린이공원,청담동,서울특별시 강남구 청담동 94-4,청담동,37.525154,127.0442417,1643.8
강남구,청담목련공원,어린이공원,청담동,서울특별시 강남구 청담동 51,청담동,37.52300518,127.0498445,1642.1
강남구,도곡까치공원,어린이공원,도곡동,서울특별시 강남구 도곡동 455,도곡2동,37.483326,127.0451093,1793.8
강남구,도곡목련공원,어린이공원,도곡동,서울특별시 강남구 도곡동 415-3,도곡2동,37.484915,127.0443053,1709.2
강남구,역삼장미공원,어린이공원,역삼동,서울특별시 강남구 역삼동 780-25,역삼2동,37.495327,127.0447331,1636.6
강남구,역삼까치공원,어린이공원,역삼동,서울특별시 강남구 역삼동 824-10,역삼1동,37.4972618,127.0307401,987.2
강남구,역삼무궁화공원,어린이공원,역삼동,서울특별시 강남구 역삼동 830-23,역삼1동,37.493835,127.032209,991.5
강남구,역삼개나리공원,어린이공원,역삼동,서울특별시 강남구 역삼동 739-15,역삼1동,37.497571,127.0362551,1635
강남구,역삼소나무공원,어린이공원,역삼동,서울특별시 강남구 역삼동 836-21,역삼1동,37.49099783,127.0336992,987.3
강남구,역삼은행나무공원,어린이공원,역삼동,서울특별시 강남구 역삼동 611,역삼1동,37.505409,127.0312225,1647.1
강남구,대치목련공원,어린이공원,대치동,서울특별시 강남구 대치동 929-10,대치4동,37.49982553,127.0581713,1649.1
강남구,대치까치공원,어린이공원,대치동,서울특별시 강남구 대치동 1014-4,대치1동,37.496941,127.059198,992.2
강남구,대치은행나무공원,어린이공원,대치동,서울특별시 강남구 대치동 899-25,대치4동,37.501649,127.0515319,1618.7
강남구,개포까치공원,어린이공원,개포동,서울특별시 강남구 개포동 169-3,개포2동,37.48370515,127.0608782,1690.2
강남구,개포은행나무공원,어린이공원,개포동,서울특별시 강남구 개포동 1220,개포4동,37.47602964,127.0492625,1641.7
강남구,개포목련공원,어린이공원,개포동,서울특별시 강남구 개포동 1176,개포4동,37.47429924,127.0524432,1639.1
강남구,일원은행나무공원,어린이공원,일원동,서울특별시 강남구 일원동 615-2,개포3동,37.492002,127.0769753,1500.3
강남구,일원목련공원,어린이공원,일원동,서울특별시 강남구 일원동 658,일원1동,37.491431,127.0855901,1613.8
강남구,일원까치공원,어린이공원,일원동,서울특별시 강남구 일원동 712-4,일원1동,37.4918904,127.0882309,1476.3
강남구,궁마을공원,근린공원,수서동,서울특별시 강남구 수서동 802,수서동,37.48369397,127.0952707,14449
강남구,예지공원,어린이공원,개포동,서울특별시 강남구 개포동 12-7,개포3동,37.49183156,127.0733493,1535.9
강남구,한마음공원,어린이공원,개포동,서울특별시 강남구 개포동 12-3,개포3동,37.49642631,127.0755359,2488.1
강남구,일원장미공원,어린이공원,일원동,서울특별시 강남구 일원동 732-4,일원본동,37.480681,127.0808231,1500
강남구,일원개나리공원,어린이공원,일원동,서울특별시 강남구 일원동 730-3,일원본동,37.48300519,127.0763956,4453.6
강남구,일원느티나무공원,어린이공원,일원동,서울특별시 강남구 일원동 730-2,일원본동,37.483047,127.0774123,1825.7
강남구,일원소나무공원,어린이공원,일원동,서울특별시 강남구 일원동 718-1,일원본동,37.484061,127.0817812,1500.6
강남구,일원상록수공원,어린이공원,일원동,서울특별시 강남구 일원동 734-1,일원본동,37.482102,127.0822265,1500.4
강남구,일원비둘기공원,어린이공원,일원동,서울특별시 강남구 일원동 735-1,일원본동,37.48327765,127.0860025,1501
강남구,일원진달래공원,어린이공원,일원동,서울특별시 강남구 일원동 716-1,일원본동,37.484753,127.0847344,1500.1
강남구,일원새싹공원,어린이공원,수서동,서울특별시 강남구 수서동 746-1,일원본동,37.484772,127.0890958,1500.2
강남구,수서까치공원,어린이공원,수서동,서울특별시 강남구 수서동 736-1,수서동,37.48713637,127.0979512,1500.2
강남구,수서은행나무공원,어린이공원,수서동,서울특별시 강남구 수서동 707-1,수서동,37.49213676,127.0997523,1500.4
강남구,수서목련공원,어린이공원,수서동,서울특별시 강남구 수서동 712-1,수서동,37.49062982,127.1036989,1418.8
강남구,수서개나리공원,어린이공원,수서동,서울특별시 강남구 수서동 723-1,수서동,37.487518,127.1054203,1500.1
강남구,아래반고개공원,어린이공원,세곡동,서울특별시 강남구 세곡동 129-13,세곡동,37.463874,127.1071102,863
강남구,윗반고개공원,어린이공원,세곡동,서울특별시 강남구 세곡동 99-6,세곡동,37.46569942,127.109147,1250
강남구,은곡마을공원,어린이공원,세곡동,서울특별시 강남구 세곡동 369-3,세곡동,37.46801863,127.1004611,2686
강남구,쟁골공원,어린이공원,자곡동,서울특별시 강남구 자곡동 233-2,세곡동,37.48190388,127.1020753,468
강남구,못골공원,어린이공원,자곡동,서울특별시 강남구 자곡동 447-23,세곡동,37.473573,127.100181,749
강남구,윗방죽마을공원,어린이공원,율현동,서울특별시 강남구 율현동 308-29,세곡동,37.470276,127.104681,935
강남구,아래방죽마을공원,어린이공원,율현동,서울특별시 강남구 율현동 194-1,세곡동,37.473276,127.1082321,386
강남구,충현공원,어린이공원,역삼동,서울특별시 강남구 역삼동 666-2,역삼1동,37.50467201,127.0365347,2721.8
강남구,세곡천공원,어린이공원,세곡동,서울특별시 강남구 세곡동 522-1,세곡동,37.46321345,127.1012799,2645.1
