기관구분,자치구,행정동,행정동코드,시설명,도로명주소,위도,경도
병원,금천구,독산1동,11180520.0,삼대한방병원,"서울특별시 금천구 가산로 70, A동 3,4,5층 (독산동)",37.472572289340505,126.8960486044957
병원,강북구,번1동,11090600.0,365매일한방병원,"서울특별시 강북구 오패산로 414, 2~4층 (번동)",37.63764962023234,127.02635879128192
병원,송파구,삼전동,11240640.0,서울오브치과병원,"서울특별시 송파구 백제고분로 196, 4층~5층 (삼전동)",37.5039526604933,127.08830168684804
병원,송파구,가락본동,11240650.0,더힐병원,"서울특별시 송파구 송이로 81, 지하2층~지상7층층 (가락동)",37.498771884096485,127.1203669938123
병원,성북구,종암동,11080840.0,한마음한방병원,"서울특별시 성북구 종암로 129, 청한빌딩 4,5층 (종암동)",37.60143997237407,127.03272035666213
병원,도봉구,쌍문3동,11100530.0,의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.64591606837779,127.0287305950262
병원,구로구,고척2동,11170620.0,아이비어린이병원,"서울특별시 구로구 목동남로 2, B1~B2, 2~8층 (고척동)",37.50666200334863,126.8604857630204
병원,강남구,삼성1동,11230580.0,청담해리슨병원,"서울특별시 강남구 삼성로 646, 마디빌딩 B3~B1,2~9층 (삼성동)",37.51770433320361,127.05121257924954
병원,노원구,공릉1동,11110790.0,모아한방병원,"서울특별시 노원구 동일로 987, 태릉마이크로병원건물 2,5,6,7층 (공릉동)",37.6182578557147,127.0749958348889
병원,서초구,서초2동,11220520.0,광덕안정한방병원,"서울특별시 서초구 강남대로 309, 코리아비지니스센타 2층 (서초동)",37.490591002566255,127.03045143421944
병원,중구,황학동,11020670.0,연세스위트치과병원,"서울특별시 중구 퇴계로 447, 221~213호 (황학동, 황학 아크로타워)",37.5661715598295,127.021909342613
병원,송파구,삼전동,11240640.0,엠에스병원,"서울특별시 송파구 삼학사로 53, 태영빌딩 1~7층 (삼전동)",37.502085045905886,127.09666523828552
병원,광진구,구의1동,11050600.0,오석한방병원,"서울특별시 광진구 자양로 116, 301~307호,310~312호 (구의동, 웰츠타워)",37.53822666137779,127.0838689174102
병원,광진구,자양2동,11050650.0,편안한요양병원,"서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)",37.53159819221863,127.0864816959681
병원,송파구,방이2동,11240580.0,포레메디한방병원,"서울특별시 송파구 오금로 129, 지하1층~6층 (방이동)",37.51172118603176,127.10963393856044
병원,송파구,잠실3동,11240800.0,더바름치과병원,"서울특별시 송파구 석촌호수로 61, 트리지움상가 201호 (잠실동)",37.5106417899682,127.08622683394096
병원,성동구,용답동,11040700.0,성동필한방병원,"서울특별시 성동구 천호대로 282, 남주빌딩 2~5층 (용답동)",37.56678407540526,127.0521247255276
병원,송파구,삼전동,11240640.0,강남푸른숲한방병원,"서울특별시 송파구 삼전로 42, 지하1~6층 (삼전동)",37.50261566692876,127.0870267265184
병원,송파구,오금동,11240600.0,오쿨리한방병원,"서울특별시 송파구 위례성대로22길 27, 데코빌딩 지하3층~4층층 (오금동)",37.50778171197537,127.13037685273046
병원,마포구,아현동,11140780.0,위비앙병원,서울특별시 마포구 신촌로 240 (아현동),37.55692402866297,126.95244229221468
병원,강남구,청담동,11230780.0,청담병원,"서울특별시 강남구 삼성로147길 46 (청담동, 청담병원 지하1층, 1층일부, 2층~6층)",37.52067111087304,127.04563915239316
병원,서초구,서초2동,11220520.0,유디치과병원,"서울특별시 서초구 강남대로 309, 코리아비지니스센타 3층 (서초동)",37.490591002566255,127.03045143421944
병원,송파구,위례동,11240820.0,365다시재한방병원,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",37.48661305717752,127.14225607374745
병원,송파구,송파1동,11240610.0,빠른병원,"서울특별시 송파구 백제고분로 405, 유니온테크송파빌딩 (송파동)",37.50747054757078,127.1096802756819
병원,금천구,독산3동,11180540.0,금천수병원,"서울특별시 금천구 남부순환로 1400, 1층~9층 (독산동)",37.48001046173416,126.90649238668696
병원,강서구,우장산동,11160740.0,유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),37.5436496848262,126.83892357743994
병원,강서구,방화2동,11160710.0,강서바른세상병원,"서울특별시 강서구 금낭화로 9, 바른세상병원 1~7층 (방화동)",37.566117611837065,126.81158635861712
병원,강서구,화곡3동,11160580.0,힘찬하나로한방병원,"서울특별시 강서구 강서로 173, 터보빌딩 7,8,9층 (화곡동)",37.54193375693515,126.83964177280129
병원,강서구,우장산동,11160740.0,서울큰나무병원,"서울특별시 강서구 강서로 206, 1층일부,2~6층 (화곡동)",37.5445292071438,126.8380416255618
병원,서초구,서초3동,11220530.0,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",37.48622182126231,127.00445915353056
병원,동작구,사당2동,11200730.0,내이처럼치과병원,"서울특별시 동작구 동작대로27다길 26, 2층 (사당동, 사당동 주상복합)",37.48635226009572,126.98023228273657
병원,종로구,사직동,11010530.0,아미나요양병원,"서울특별시 종로구 경희궁길 26, 썬타워빌딩 지하1층, 지상2,3,4,5,6,7층 (신문로2가)",37.57226246918836,126.97101594818623
병원,송파구,방이1동,11240570.0,다나움요양병원,"서울특별시 송파구 가락로 278, 지하1층~지상6층 (방이동)",37.51245047232692,127.1198679360487
병원,송파구,위례동,11240820.0,서울세계로병원,"서울특별시 송파구 위례서로 248, 지하1층, 2층, 5~12층 (거여동)",37.48661305717752,127.14225607374745
병원,동대문구,장안1동,11060870.0,린여성병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",37.57223388228153,127.0698356002003
병원,서대문구,홍은2동,11130680.0,신촌힐링요양병원,"서울특별시 서대문구 모래내로 330, 미도빌딩 (홍은동)",37.57975491790869,126.93391873938307
병원,마포구,상암동,11140740.0,푸르메재단 넥슨어린이재활병원,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",37.58466190142973,126.88056230857384
병원,구로구,구로5동,11170560.0,아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",37.50546535666254,126.8904604973846
병원,송파구,가락본동,11240650.0,송파드림재활병원,"서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)",37.49671712689333,127.12220549225488
병원,마포구,서강동,11140760.0,마포척한방병원,"서울특별시 마포구 와우산로 48, 로하스타워 2층 (상수동)",37.54852989561311,126.92341856586248
병원,마포구,서교동,11140660.0,메디람한방병원,"서울특별시 마포구 양화로 119, 디키즈코리아 B1~6층 (서교동)",37.55437474822905,126.91981621716484
병원,마포구,성산1동,11140720.0,마포요양병원,"서울특별시 마포구 성산로4길 33, 마포요양병원 지하1~5층 (성산동)",37.56378706275814,126.9084722717997
병원,송파구,가락본동,11240650.0,염창환병원,"서울특별시 송파구 오금로 296, 재정빌딩 지하1층~지상5층 (가락동)",37.503565632982585,127.12525193456604
병원,성북구,정릉1동,11080620.0,새마음요양병원,서울특별시 성북구 동소문로 215 (정릉동),37.60136181122858,127.02160056578596
병원,노원구,공릉1동,11110790.0,서울미르한방병원,"서울특별시 노원구 동일로197길 11, 공삼빌딩 2,3,4층 (공릉동)",37.62848183841204,127.07069022301292
병원,송파구,문정2동,11240690.0,새숨병원,"서울특별시 송파구 정의로8길 4, KDG70타워 2,3,4층 (문정동)",37.485699,127.1157087
병원,노원구,상계2동,11110660.0,그레이스힐 요양병원,"서울특별시 노원구 노원로 461, 대감프라자빌딩 3,4,5,6층 (상계동)",37.65733714894028,127.06544834041334
병원,금천구,시흥1동,11180570.0,녹십자요양병원,"서울특별시 금천구 시흥대로 202, 3,4층 (시흥동, 대의빌딩)",37.452029895135865,126.90198564805534
병원,강남구,압구정동,11230770.0,포레스트요양병원,"서울특별시 강남구 도산대로 209, 포레스트요양병원 (신사동)",37.52053471108035,127.02937822948324
병원,강남구,개포4동,11230710.0,소우주한방병원,서울특별시 강남구 논현로16길 15 (개포동),37.4766482389231,127.0475045065828
병원,강서구,등촌3동,11160540.0,경희생생한방병원,"서울특별시 강서구 공항대로41길 34, 플러스존 3,4층 (등촌동)",37.55930122582949,126.84573087876684
병원,중구,신당동,11020690.0,참바로병원,"서울특별시 중구 다산로 258, 리마크빌 동대문 2,3층 (흥인동)",37.56603426977059,127.01664360788732
병원,강동구,성내3동,11250670.0,달려라병원,"서울특별시 강동구 천호대로 1110, 지하5~지상9층 (성내동)",37.53473204016915,127.13475876658198
