교육_학교급,교육_설립구분,ADM_CD
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
특수학교,사립,11010530
유치원,사립,11010530
유치원,사립,11010530
초등학교,공립,11010530
고등학교,사립,11010530
특수학교,사립,11010530
중학교,사립,11010540
고등학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
중학교,사립,11010540
고등학교,사립,11010540
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010550
유치원,사립,11010550
초등학교,공립,11010550
초등학교,사립,11010550
중학교,사립,11010550
고등학교,사립,11010550
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
유치원,사립,11010560
고등학교,사립,11010560
고등학교,사립,11010560
고등학교,사립,11010560
고등학교,사립,11010560
고등학교,사립,11010560
고등학교,사립,11010560
초등학교,공립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
유치원,사립,11010570
초등학교,공립,11010570
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
중학교,사립,11010580
고등학교,사립,11010580
유치원,공립,11010600
