자치구,학원/교습소,학원명,분야명,교습계열명,정원합계,도로명주소,위도,경도,행정동코드,행정동
동대문구,학원,대성회계실무학원,종합(대),,404,서울특별시 동대문구 왕산로 225,37.5821227010138,127.047209103701,11060800.0,청량리동
동대문구,학원,국제전자과학학원,직업기술,산업기반기술,30,서울특별시 동대문구 고산자로36길 3,37.5790377655561,127.039142935818,11060820.0,제기동
동대문구,학원,조이앤플레이음악학원,기예(대),기예(중),98,서울특별시 동대문구 이문로 38,37.590757612557,127.056680204054,11060720.0,휘경1동
동대문구,학원,한독자동차정비학원,직업기술,산업기반기술,210,서울특별시 동대문구 왕산로 31,37.5769771989632,127.026873164406,11060810.0,용신동
중랑구,학원,예맥보습학원,입시.검정 및 보습,보통교과,0,서울특별시 중랑구 동일로151길 30,37.6081112622369,127.076303255348,11070650.0,묵2동
중랑구,학원,금파음악학원,예능(대),예능(중),117,서울특별시 중랑구 동일로101길 52,37.5889587715132,127.077055547589,11070520.0,면목2동
동대문구,학원,청담+수학학원,입시.검정 및 보습,보통교과,140,서울특별시 동대문구 한천로 124,37.5720776043123,127.066164530643,11060870.0,장안1동
동대문구,학원,더하이스트수학학원,입시.검정 및 보습,보통교과,180,서울특별시 동대문구 사가정로 190,37.5773472429026,127.064386983555,11060840.0,전농2동
동대문구,학원,미래사관학원,입시.검정 및 보습,보통교과,114,서울특별시 동대문구 천호대로16길 12,37.5732751258287,127.031174804956,11060810.0,용신동
중랑구,학원,필립학원,입시.검정 및 보습,보통교과,210,서울특별시 중랑구 동일로129길 54,37.5999854804166,127.077032606368,11070620.0,중화2동
동대문구,학원,주미음악학원,예능(대),예능(중),35,서울특별시 동대문구 장한로30길 31,37.5742238111785,127.073850224321,11060880.0,장안2동
동대문구,학원,새암음악학원,예능(대),예능(중),441,서울특별시 동대문구 답십리로72길 118,37.5671200838924,127.071972163471,11060870.0,장안1동
중랑구,학원,클라라음악학원,예능(대),예능(중),90,서울특별시 중랑구 겸재로3길 22,37.5868594599558,127.076638995088,11070520.0,면목2동
동대문구,학원,예술의악당음악학원,예능(대),예능(중),460,서울특별시 동대문구 이문로1길 16-3,37.5891013521078,127.053121101415,11060710.0,회기동
동대문구,학원,이엘음악학원,예능(대),예능(중),180,서울특별시 동대문구 천호대로77길 89,37.5657204921314,127.063295568507,11060870.0,장안1동
동대문구,학원,맨하탄학원,입시.검정 및 보습,보통교과,0,서울특별시 동대문구 황물로 42,37.573327863786,127.046204557882,11060910.0,답십리1동
동대문구,학원,한영보습학원,입시.검정 및 보습,보통교과,90,서울특별시 동대문구 답십리로23길 59,37.5780716478285,127.049850961842,11060830.0,전농1동
동대문구,학원,수학엠플러스학원,입시.검정 및 보습,보통교과,84,서울특별시 동대문구 한천로 165,37.5757471042809,127.067247064669,11060860.0,답십리2동
중랑구,학원,대정보습학원,입시.검정 및 보습,보통교과,50,서울특별시 중랑구 용마산로 389,37.5864975696368,127.094934121888,11070720.0,면목3·8동
